100.128.0.0/10,"(37.751,-97.822)"
100.14.226.0/23,"(39.816,-75.5045)"
100.16.159.0/24,"(39.084,-76.6157)"
100.192.0.0/15,"(37.751,-97.822)"
100.196.0.0/14,"(37.751,-97.822)"
100.2.186.0/23,"(40.8132,-73.9386)"
100.2.198.0/25,"(40.6225,-73.9662)"
100.2.206.128/25,"(40.6166,-74.0124)"
100.20.0.0/14,"(37.751,-97.822)"
100.200.0.0/13,"(37.751,-97.822)"
100.208.0.0/12,"(37.751,-97.822)"
100.224.0.0/11,"(37.751,-97.822)"
100.24.0.0/13,"(37.751,-97.822)"
100.35.248.0/21,"(37.751,-97.822)"
100.36.40.0/22,"(38.9311,-77.3489)"
100.37.132.0/24,"(40.7591,-73.7358)"
100.39.128.0/17,"(37.751,-97.822)"
100.39.64.0/18,"(37.751,-97.822)"
100.4.48.0/23,"(36.8463,-76.0979)"
100.42.112.0/20,"(42.2429,-71.0098)"
100.43.64.0/19,"(37.3422,-121.9052)"
100.44.32.0/20,"(37.751,-97.822)"
100.45.48.0/20,"(41.6714,-87.7371)"
100.46.128.0/18,"(37.751,-97.822)"
100.48.0.0/12,"(37.751,-97.822)"
100.8.12.128/25,"(40.7566,-74.2185)"
101.10.128.0/17,"(25.0418,121.4966)"
101.100.192.0/18,"(1.3667,103.8)"
101.102.140.0/22,"(35.6427,139.7677)"
101.104.0.0/17,"(39.9289,116.3883)"
101.106.128.0/17,"(39.9289,116.3883)"
101.106.64.0/19,"(41.5703,120.4586)"
101.110.128.0/17,"(35.6427,139.7677)"
101.110.64.0/19,"(23.1167,113.25)"
101.111.68.0/23,"(35.6427,139.7677)"
101.112.0.0/14,"(-33.494,143.2104)"
101.117.0.0/16,"(-33.494,143.2104)"
101.119.24.0/22,"(-37.8103,144.9544)"
101.120.0.0/14,"(39.9289,116.3883)"
101.126.0.0/18,"(41.5703,120.4586)"
101.127.236.0/22,"(1.2855,103.8565)"
101.128.112.0/22,"(-6.1744,106.8294)"
101.129.0.0/16,"(39.9289,116.3883)"
101.132.0.0/15,"(30.2936,120.1614)"
101.134.0.0/15,"(39.9289,116.3883)"
101.136.0.0/15,"(25.0418,121.4966)"
101.138.192.0/18,"(25.0418,121.4966)"
101.14.80.0/21,"(25.0418,121.4966)"
101.141.192.0/18,"(35.69,139.69)"
101.142.160.0/21,"(34.5833,135.4667)"
101.143.224.0/21,"(35.5333,134.8333)"
101.144.0.0/12,"(39.9289,116.3883)"
101.16.0.0/18,"(39.8897,115.275)"
101.161.146.0/23,"(-33.7333,151.1)"
101.162.148.0/23,"(-26.7971,153.1377)"
101.162.64.0/18,"(-33.494,143.2104)"
101.163.128.0/17,"(-33.494,143.2104)"
101.163.32.0/19,"(-27.471,153.0243)"
101.164.145.0/25,"(-33.6833,151.1)"
101.174.224.0/19,"(-33.494,143.2104)"
101.176.233.192/27,"(-33.75,150.7)"
101.179.117.0/25,"(-27.5606,151.9539)"
101.18.0.0/15,"(39.8897,115.275)"
101.181.246.0/24,"(-37.7667,144.9167)"
101.185.163.0/24,"(-34.9287,138.5986)"
101.186.76.0/22,"(-32.058,115.9181)"
101.188.66.0/25,"(-37.7667,144.8333)"
101.190.177.0/25,"(-33.9667,150.9833)"
101.191.248.0/22,"(-33.995,151.1455)"
101.192.0.0/14,"(39.9289,116.3883)"
101.196.0.0/16,"(31.0456,121.3997)"
101.198.0.0/15,"(39.9289,116.3883)"
101.2.64.0/19,"(28.4667,77.0333)"
101.200.0.0/15,"(30.2936,120.1614)"
101.204.0.0/19,"(30.6667,104.0667)"
101.206.0.0/15,"(30.6667,104.0667)"
101.209.0.0/19,"(28.6667,77.2167)"
101.209.128.0/19,"(28.6667,77.2167)"
101.210.32.0/20,"(26.1833,91.7333)"
101.212.48.0/20,"(22.5697,88.3697)"
101.216.128.0/18,"(28.6667,77.2167)"
101.216.16.0/20,"(28.6667,77.2167)"
101.217.128.0/19,"(22.5697,88.3697)"
101.217.32.0/19,"(22.5697,88.3697)"
101.218.128.0/20,"(22.5697,88.3697)"
101.220.0.0/20,"(22.5697,88.3697)"
101.220.224.0/19,"(28.6667,77.2167)"
101.221.32.0/19,"(13.0833,80.2833)"
101.222.48.0/20,"(33.8042,74.2583)"
101.225.0.0/16,"(31.0456,121.3997)"
101.226.0.0/17,"(31.0456,121.3997)"
101.228.64.0/18,"(31.0456,121.3997)"
101.230.32.0/19,"(31.0456,121.3997)"
101.232.0.0/15,"(22.5333,114.1333)"
101.234.0.0/18,"(1.3667,103.8)"
101.234.128.0/17,"(-33.8612,151.1982)"
101.24.192.0/19,"(39.0728,114.8731)"
101.240.0.0/14,"(39.9289,116.3883)"
101.244.0.0/15,"(31.0456,121.3997)"
101.246.0.0/17,"(41.5703,120.4586)"
101.246.128.0/18,"(41.5703,120.4586)"
101.248.0.0/15,"(29.65,91.1)"
101.251.128.0/20,"(39.9289,116.3883)"
101.252.0.0/15,"(39.9289,116.3883)"
101.26.0.0/15,"(39.8897,115.275)"
101.28.0.0/14,"(39.8897,115.275)"
101.32.0.0/14,"(39.9289,116.3883)"
101.36.0.0/18,"(39.9289,116.3883)"
101.36.128.0/17,"(39.9289,116.3883)"
101.37.0.0/16,"(30.2936,120.1614)"
101.38.0.0/15,"(39.9289,116.3883)"
101.40.0.0/14,"(39.9289,116.3883)"
101.44.0.0/14,"(31.0456,121.3997)"
101.49.0.0/16,"(39.9289,116.3883)"
101.5.64.0/19,"(39.9289,116.3883)"
101.51.84.0/22,"(13.75,100.4667)"
101.53.224.0/19,"(30,70)"
101.54.0.0/16,"(39.9289,116.3883)"
101.55.0.0/18,"(37.5112,126.9741)"
101.55.128.0/20,"(35.7197,139.9247)"
101.55.168.0/22,"(35.6427,139.7677)"
101.55.80.0/20,"(37.5112,126.9741)"
101.56.228.0/22,"(26.85,80.9167)"
101.58.160.0/19,"(23.1667,79.95)"
101.60.152.0/21,"(28.6667,77.2167)"
101.60.16.0/20,"(12.9833,77.5833)"
101.63.96.0/19,"(26.1167,85.4)"
101.66.0.0/15,"(30.2936,120.1614)"
101.72.0.0/14,"(39.8897,115.275)"
101.76.64.0/18,"(32.0617,118.7778)"
101.77.0.0/16,"(32.0617,118.7778)"
101.78.155.0/24,"(22.3167,114.2167)"
101.79.0.0/17,"(37.5112,126.9741)"
101.81.128.0/17,"(31.0456,121.3997)"
101.81.32.0/20,"(31.0456,121.3997)"
101.81.96.0/19,"(31.0456,121.3997)"
101.85.224.0/19,"(31.0456,121.3997)"
101.89.0.0/16,"(31.0456,121.3997)"
101.90.128.0/18,"(31.0456,121.3997)"
101.91.0.0/16,"(31.0456,121.3997)"
101.93.0.0/17,"(31.0456,121.3997)"
101.94.0.0/17,"(31.0456,121.3997)"
101.95.128.0/18,"(31.0456,121.3997)"
101.95.32.0/19,"(31.0456,121.3997)"
101.97.0.0/16,"(35.6427,139.7677)"
101.98.254.0/23,"(-41,174)"
101.98.91.0/24,"(-41,174)"
102.184.0.0/13,"(30.0355,31.223)"
102.240.0.0/14,"(34,9)"
102.248.0.0/13,"(-29,24)"
